"Submission Date","","","Name as many attractions as you can that had FastPass+ as of March 1, 2020 (i.e., before the parks closed).","","Children leaving this location are given a bookmark to commemorate their visit","Belle and Aurora trade off meeting at this Epcot pavilion","This Hollywood Studios restaurant features a princess, among other characters","Jasmine can often be found with Aladdin at a space in this Adventureland shopping area","One princess was evicted to make way for four in this location that opened in 2013","Originally named after the King from a 1959 film","","This seasonally themed location took the space of an entire Epcot pavilion expansion pad","This closed location featured North American animals","It’s original location opened in 1996 relatively close to its current location that opened in 2012","This location is based on a fortress from the 13th Century","You’ll be wishing you’d bought some caramel corn right next door while waiting for Snow White at this pavilion","This location was once called Spoodles","","","Horizons - 1983","Splash Mountain - 2018","Spaceship Earth - 1982","Space Mountain - 1975","The Land - 1982","The Living Seas - 1986","IllumiNations: Reflections of Earth - 2007","Captain Eo - 1986","","it’s a small world - 1991","Enchanted Tiki Room - 1971","Tomorrowland Transit Authority - 2005","Wonders of Life - 1989","World of Motion - 1982","Rock’n’Rollercoaster - 2008","Dinosaur - 1998","If You Had Wings - 1972","","","Person #1","Person #2","Person #3 (or at least, who this *should* be)","Person #4","Person #5","Person #6","","Person #7","Person #8","Person #9","Person #10","Person #11","Person #12","","Person #13","Person #14","Person #15","Person #16","Person #17","Person #18",""
"2020-07-08 12:28:09","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Splash Mountain
 Big Thunder Mountain Railroad
 Haunted Mansion
 Jungle Cruise
 Seven Dwarves Mine Train
 Test Track
 Soarin'
 Spaceship Earth
 Frozen Ever After
 The Seas With Nemo and Friends
 Tower of Terror
 Rock n' Roller Coaster
 Toy Story Mania
 Slinky Dog Dash
 Expedition Everest
 Dinosaur
 Flight of Passage
 Navi River Journey
 Kilimanjaro Safaris
 Kali River Rapids","Time remaining: 00:00","","France","Hollywood and Vine","Adventureland Bazaar","","","Time remaining: 00:00","Summerhaus","Discovery Island","","Akershus","Germany","Kouzzina","Time remaining: 00:00","Time remaining: 00:00","General Electric","Zip-lock","Bell Systems","RCA","Kraft Foods","United Technologies","","Kodak","Time remaining: 00:00","PepsiCo","Eastern Airline","","Metlife","General Motors","Haines","McDonalds","Eastern Airline","Time remaining: 00:00","Time remaining: 02:36","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 02:36","","Phylicia Rashad","John Michael Higgins","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 02:36","Dame Judi Dench","Rhea Perlman","","Tone Loc","Jon Lovitz","","Time remaining: 02:36"
"2020-07-08 10:12:55","Time remaining: 00:00","Time remaining: 00:00","Whinnie the Pooh 
 Haunted Mansion 
 Flight of Passage 
 Jungle Cruise 
 Dinosaur 
 Mission space 
 Test track 
 Soarin 
 Spaceship earth 
 Thunder Mountain 
 Splash Mountain 
 Space Mountain 
 Little Mermaid 
 Barnstormer 
 Mickey and Minnie Runaway Railway 
 Muppets 
 Star Tours 
 Slinky dog dash 
 Toy story mania 
 Indiana Jones 
 Nemo 
 The land 
 Figment 
 Kilimanjaro Safari 
 Tough to be a bug 
 Up a great bird adventure 
 Peter Pan 
 Small world 
 Frozen ever after 
 Smugglers run 
 ","Time remaining: 00:00","","UK","","","Princess Fairytale Hall","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 00:57","Delta","Zip Lock ","","","","","","","Time remaining: 00:57","","","","","","Hanes","","Delta","Time remaining: 00:57","Time remaining: 04:37","","Niel Patrick Harris","","","","","Time remaining: 04:37","","","","","Michael Jackson","","Time remaining: 04:37","","","","","","","Time remaining: 04:37"
"2020-07-08 04:08:00","Time remaining: 00:00","Time remaining: 00:00","Peter pans flight
 Philharmagic 
 Seven dwarfs mine train
 Dumbo the flying elephant
 Pirates of the Caribbean 
 Big thunder mountain railroad
 Splash mountain 
 Space mountain
 Buzz light year
 Monsters inc laugh floor
 Jungle cruise
 Royal princess hall
 Test track
 Soarin
 Grab fiesta tour
 Frozen ever after
 Journey into imagination
 Living with the land
 The seas with Nemo and friends
 Tower of terror
 Rock n roller coaster
 Mickey and minnies runways railway
 Smugglers run
 Slinky dog dash
 Everest
 Alien swirling saucers
 ","Time remaining: 00:00","Enchanted Tales with belle","France pavilion ","Hollywood and vine ","","Royal princess hall ","King Stephans court","Time remaining: 00:00","Character spot","","","","Germany","Terra Lina","Time remaining: 00:00","Time remaining: 00:00","GE","Ziplock","At&T","","Nestle","Nestle ","Kodak","Kodak","Time remaining: 00:00","","Dole","Firestone","","GM","Aerosmith ","Mcdonalds ","Delta ","Time remaining: 00:00","Time remaining: 02:34","Patrick Warburton","Neil Patrick Harris","Ellen degeneres ","Martin short","Gilbert Gottfried","Robin Williams","Time remaining: 02:28","Mission space fire fly lady","Felicia Rashad","Seven guy","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 02:26","Dame Judi Dench","Carla","Kevin pollack","Tone Loc","John Lovetts","","Time remaining: 02:26"
"2020-07-08 02:08:11","Time remaining: 00:00","Time remaining: 00:00","Everest
 ","Time remaining: 00:00","Enchanted Tales With Belle","France","Hollywood & Vine","Agrabah Bazaar","Princess Fairytale Hall","Royal Table","Time remaining: 00:00","Festival Center","","","Canada","Germany","Jellyrolls","Time remaining: 00:00","Time remaining: 00:54","Ge","Ziploc","Bell","Rca","Kraft","United","Sylvania","Duracell","Time remaining: 00:54","B of A","Dole","","Metlife","Ge","Hanes","Mcdonalds","Eastern","Time remaining: 00:54","Time remaining: 04:08","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Godfried","Robin Williams","Time remaining: 04:08","","Phylicia Rashad","John Michael Higgins","Allison Janney","Michael Jackson","Michael Richards","Time remaining: 04:08","Judi Dench","","","Ton Loc","John Lovitz","","Time remaining: 04:08"
"2020-07-07 20:31:34","Time remaining: 00:00","Time remaining: 00:00","7 Dwarfs 
 Space Mountain
 Big Thunder
 Everest
 Flight of Passage
 Splash Mountain
 Pirates
 Peter Pan's Flight
 Winnie the Pooh
 Barnstormer
 Tea Cups
 its a small world
 Country Bears
 Haunted Mansion
 Astro Orbiter
 Buzz Lightyear Astroblasters
 Monsters Inc Laugh Floor
 Alien Swirling Saucers
 Slinky Dog Dash
 Toy Story Mania
 Rock n Roller coaster
 Tower of Terror
 Test Track
 Spaceship Earth","Time remaining: 00:00","Enchanted Tales with Belle","","Hollywood & Vine","Bazaar","Fairytale Hall","","Time remaining: 00:00","","","The Barnstormer","Cinderella Castle","Germany","","Time remaining: 00:00","Time remaining: 01:11","","Ziploc","","","","","Siemans","","Time remaining: 01:11","","Eastern Airlines","","","","","","","Time remaining: 01:11","Time remaining: 04:17","A wannabe Rob Riggle","","Ellen ","Jack Frost in the 3rd Santa Clause movie","","Robin Williams","Time remaining: 04:17","Zoe from Firefly","Mrs Cosby","","","Michael Jackson","","Time remaining: 04:17","Dame Judy Dench","","","","","","Time remaining: 04:17"
"2020-07-07 19:31:45","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Splash Mountain
 Big Thunder Mountain
 Pirates of the Caribbean
 Seven Dwarfs Mine Train
 Expedition Everest
 Haunted Mansion
 Test Track
 Mission Space
 Jungle Cruise
 Flight of Passage
 Toy Story Mania
 Tower of Terror
 Slinky Dog Dash
 Astro Blaster
 Space Ranger Spin
 Peter Pan
 It's a Small World
 Frozen Ever After
 Dinosaur
 Kilamanjaro Safari","Time remaining: 00:00","Enchanted Tales with Belle","France","","Bazaar","Cinderella","Aurora","Time remaining: 00:00","Body Wars","Universe of Energy","","Tom Sawyer Island","Germany","Kouzzina","Time remaining: 00:00","Time remaining: 00:00","","","Seimens","RCA","Nestle","","","Pepsi","Time remaining: 00:00","Bank of America","","","","","","","Eastern Airlines","Time remaining: 00:00","Time remaining: 01:13","Patrick Warburton","Neil Patrick Harris","","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 01:13","","Felicia Rashad","","Allison Janey","Michael Jackson","Michael Richards","Time remaining: 01:13","Judi Dench","Rhea Pearlman","","","Jon Lovitt","","Time remaining: 00:40"
"2020-07-07 09:41:18","Time remaining: 00:00","Time remaining: 00:00","Tower of terror, seven dwarves mine train, space mt, splash mt, pirates of the Caribbean, haunted mansion, expedition Everest, enchanted tales with belle, buzz lightyear, litter mermaid, jungle cruise, frozen, soarin, spaceship earth, living seas with Nemo and friends, mission space, living with the land, millennium falcon smugglers run","Time remaining: 00:00","Enchanted tales with belle","France","Hollywood and vine","Outpost","Fairytale hall","Arthur","Time remaining: 00:00","Arendelle ","","","","Germany","Flying fish","Time remaining: 00:00","Time remaining: 00:00","","Ziploc","At&t","Fedex","Nestle","","Siemens","Kodak","Time remaining: 00:00","Pepsi","Coca-cola ","","","GM","","McDonald’s","Delta","Time remaining: 00:00","Time remaining: 03:12","Patrick warburton","Neil Patrick Harris","Ellen defenders","Martin short","Gilbert goddfried","Robin williams","Time remaining: 03:12","Gina Torres","Phylicia rashad","","Allison janney","Michael jackson","Michael Richards","Time remaining: 03:12","Judi densch","","Kevin pollack","Tone loc","Jon lovitz","","Time remaining: 03:11"
"2020-07-07 07:38:22","Time remaining: 00:00","Time remaining: 00:00","splash mountain
 haunted mansion
 pirates of the carribean
 space mountain
 seven dwarfs mine train
 soarin
 frozen ever after
 kilimanjaro safaris
 expedition everest
 rock and roller coaster
 tower of terror
 toy story midway mania
 slinky dog coaster
 smuggler's run
 rise of the resistance
 test track","Time remaining: 00:00","enchanted tales with belle","france","","adventureland veranda","","","Time remaining: 00:00","","journey into ","","pirates of the carribean","","","Time remaining: 00:00","Time remaining: 01:33","","","","","","","","","Time remaining: 01:33","","","","","","","","","Time remaining: 01:33","Time remaining: 03:51","patrick warburton","neil patrick harris","ellen degeneres","martin short","","robin williams","Time remaining: 03:51","","phylicia rashad","","illyana douglass","michael jackson","michael richards","Time remaining: 03:51","judi dench","rhea pearlman","kevin pollack","tone-loc","jon lovitz","","Time remaining: 03:51"
"2020-07-07 07:35:51","Time remaining: 00:00","Time remaining: 00:00","Splash mountain 
 Big thunder mountain 
 Space mountain 
 Peter Pan flight
 Enchanted tales with belle
 Barnstormer 
 Rock and roller coaster
 Tower of terror
 Toy story mania
 Soarin
 Test track
 Jungle cruise
 Pirates of the Caribbean 
 Slinky dog dash
 Safari
 Everest
 Flight of passage
 ","Time remaining: 00:00","Enchanted tales with belle ","","","","","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 00:42","","","","","","","","","Time remaining: 00:42","","","","","","Aerosmith","","","Time remaining: 00:42","Time remaining: 04:49","Alec Baldwin","","","","","Robin Williams","Time remaining: 03:42","","","","","","","Time remaining: 03:36","","","","","","","Time remaining: 03:25"
"2020-07-07 04:24:01","Time remaining: 00:00","Time remaining: 00:00","Space mountain, big thunder mountain, splash mountain, buzz light year space ranger spin, tomorrow land speedway, the little mermaid, star tours, tower of tower, many adventures of Winnie the Pooh, Peter pans flight, it’s a small world, pirates of the Caribbean, the haunted mansion, journey into imagination with figment, jungle cruise, soarin, living with the land, spaceship earth, test track, frozen ever after, rock and roller coaster starring Aerosmith, seven dwarfs mine train, toy story mid way mania, slinky dog dash, fight of passage, expedition Everest.","Time remaining: 00:00","Story time with belle","France pavilion ","Hollywood and vine","Agrabah bazaar","","","Time remaining: 00:00","","","","Akershus ","Germany","Kouzzina","Time remaining: 00:00","Time remaining: 00:00","General Electric","S.C. Johnson & Son","Bell","RCA","Craft","","","","Time remaining: 00:00","Mattel ","","","","","","","","Time remaining: 00:00","Time remaining: 01:10","Patrick Warburton","Neil Patrick Harris","Ellen DeGeneres","Martin Short","Gilbert Gottfried","Robbin Williams","Time remaining: 01:10","","Phylicia Rashad","","","Michael Jackson","Michael Richards","Time remaining: 01:10","","Rhea Perlman","Kevin Pollak","","Jon Lovitz","","Time remaining: 01:10"
"2020-07-07 02:31:32","Time remaining: 00:00","Time remaining: 00:00","Expedition Everest
 Splash Mountain
 Seven Dwarfs Mine Train
 Space Mountain
 Big Thunder Mountain Railroad
 Navi River Journey
 Flight of Passage
 Buzz Lightyear’s Space Ranger Spin
 Mission: Space
 Test Track
 Soarin’ Around the World
 Spaceship Earth
 Kilimanjaro Safaris
 Frozen Ever After
 Tower of Terror
 Rock ‘n’ Roller Coaster
 Toy Story Mania
 Alien Swirling Saucers
 Slinky Dog Dash
 Living with the Land
