4 Rivers Cantina Barbacoa Food Truck,2,1
AMC® Disney Springs 24 Dine-In Theatres,5,3
Amorette's Patisserie,6,4
AristoCrêpes,5,3
B.B. Wolf's Sausage Co.,5,3
Beatrix,0,0
Blaze Fast-Fire'd Pizza,51,34
Chef Art Smith's Homecomin',65,44
Chicken Guy!,66,45
City Works Eatery & Pour House,22,15
Coca-Cola Store Rooftop Beverage Bar,1,0
Cookes of Dublin,8,5
D-Luxe Burger,29,19
Disney Food Trucks,0,0
Dockside Margaritas,0,0
Earl Of Sandwich®,58,39
Enzo's Hideaway,32,21
Erin McKenna's Bakery NYC,4,2
Frontera Cocina,18,12
Ghirardelli Soda Fountain & Chocolate Shop,17,11
Gideon's Bakehouse,1,0
House of Blues Restaurant & Bar,46,31
Häagen-Dazs® Kiosk at Disney Springs West Side,1,0
Jaleo by José Andrés,47,32
Jock Lindsey's Hangar Bar,54,36
Joffrey's Coffee & Tea Company® at The Landing at Disney Springs,1,0
Joffrey's Handcrafted Smoothies at Disney Springs Marketplace,0,0
Lava Lounge at Rainforest Cafe®,0,0
MacGUFFINS,0,0
Maria & Enzo's Ristorante,36,24
Marketplace Snacks,0,0
Morimoto Asia,68,46
Morimoto Asia Street Food,0,0
Paddlefish,45,30
"Paradiso 37, Taste of the Americas",24,16
Pepe by José Andrés,0,0
Pizza Ponte,11,7
Planet Hollywood,63,43
Raglan Road™ Irish Pub and Restaurant,55,37
Rainforest Cafe® at Disney Springs Marketplace,94,64
STARBUCKS® at Disney Springs Marketplace,11,7
STARBUCKS® at Disney Springs West Side,0,0
STK Orlando,42,28
Splitsville Dining Room,26,17
Sprinkles,16,10
Stargazers Bar,0,0
Sunshine Churros at Disney Springs Marketplace,0,0
Sunshine Churros at Disney Springs West Side,0,0
T-REX ™,72,49
Terralina Crafted Italian,10,6
"The BOATHOUSE®: Great Food, Waterfront Dining, Dream Boats™",94,64
The Basket at Wine Bar George,0,0
The Daily Poutine,3,2
The Edison,35,23
The Front Porch,0,0
The Polite Pig,48,32
The Smokehouse at House of Blues,0,0
Vivoli il Gelato,1,0
Wetzel's Pretzels Kiosk at Disney Springs Marketplace,3,2
Wetzel's Pretzels Kiosk at Disney Springs West Side,0,0
Wine Bar George – A Restaurant & Bar,47,32
Wolfgang Puck Bar & Grill,52,35
Wolfgang Puck® Express at Disney Springs Marketplace,4,2
YeSake Kiosk,0,0
